Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Price / Australia,Compare At Price / Australia,Included / International,Price / International,Compare At Price / International,Status
backa-mild-chorizo,BACKA MILD CHORIZO,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,15.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/CHORIZO.png?v=1708021189,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-mild-beef-kulin,BACKA MILD BEEF KULIN,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,18.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKAMILDBEEFKULIN.png?v=1708021133,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-mettwurst-sticks,BACKA METTWURST STICKS,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKAMETTWURSTSTICKS.png?v=1708021079,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
backa-hungarian-salami,BACKA HUNGARIAN SALAMI,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKAHUNGARIANSALAMI.png?v=1708020995,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
backa-hot-chorizo,BACKA HOT CHORIZO,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,10.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKAHOTCHORIZO.png?v=1708020940,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-hot-beef-kulin,BACKA HOT BEEF KULIN,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,18.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKAHOTBEEFKULIN..png?v=1708020888,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-godfather-sticks,BACKA GODFATHER STICKS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,8.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKAGODFATHERSTICKS.png?v=1708020852,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-chilli-beef-jerky,BACKA CHILLI BEEF JERKY,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,10.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKACHILLIBEEFJERKY.png?v=1708020816,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-cacciatore,BACKA CACCIATORE,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKACACCIATORE.png?v=1708020768,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
backa-beetroot-sticks,BACKA BEETROOT STICKS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,8.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKABEETROOTSTICKS.png?v=1708020694,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-beer-sticks,BACKA BEER STICKS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,8.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKABEERSTICKS.png?v=1708020613,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
backa-beef-jerky-small,BACKA BEEF JERKY SMALL,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,10.0,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BACKABEEFJERKYSMALL.png?v=1708013690,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
westpac-greenshell-mussels,WESTPAC GREENSHELL MUSSELS,,VC Fruit Market,DELI,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/Product-img-800-x-800px-2022-10-18T110327.983.webp?v=1707624204,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
deli,DELI,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,0.0,,True,True,,,,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
sunflower-seeds,SUNFLOWER SEEDS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,3.49,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/pexels-delphine-hourlay-691175.jpg?v=1704828140,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
indya-peanut-ladoo,INDYA PEANUT LADOO,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,5.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/INDYAPEANUTLADOO.png?v=1708259305,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
baklava-300g,BAKLAVA 300G,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,8.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/BAKLAVA300G.png?v=1708022061,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
aegean-wasabi-peas,AEGEAN WASABI PEAS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,3.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/WASABIPEAS.png?v=1707996512,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
aegean-soy-crisps-200g,AEGEAN SOY CRISPS 200G,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,3.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/AEGEANSOYCRISPS.png?v=1707996140,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
aegean-choc-sultanas,AEGEAN CHOC SULTANAS,,VC Fruit Market,NUTS GST,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/AEGEANCHOCSULTANAS.png?v=1707932494,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
aegean-choc-pretzels,AEGEAN CHOC PRETZELS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,4.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/AEGEANCHOCPRETZELSAEGEANCHOCPRETZELS.png?v=1707932448,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
aegean-choc-peanuts-200g,AEGEAN CHOC PEANUTS 200G,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,5.49,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/AEGEANCHOCPEANUTS200G.png?v=1707932326,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
nuts-gst,NUTS GST,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/NUTSGST.png?v=1708322972,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
walnuts-500g,WALNUTS 500G,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,5.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/pexels-yusuf-arslan-3640631.jpg?v=1704827139,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
unsalted-peanuts,UNSALTED PEANUTS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,3.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/pexels-cottonbro-studio-3296638.jpg?v=1704827335,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
unsalted-cashews,UNSALTED CASHEWS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,8.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/pexels-cottonbro-studio-9811624_1.jpg?v=1704827382,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
supreme-mix-400g,SUPREME MIX 400G,,VC Fruit Market,NUTS NON GST,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/SUPREMEMIX400G.png?v=1708342345,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
sunflower-kernels,SUNFLOWER KERNELS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,4.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/pexels-dids-5908470.jpg?v=1704828168,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
sundried-sultanas-500g,SUNDRIED SULTANAS 500G,,VC Fruit Market,NUTS NON GST,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/SUNDRIEDSULTANAS500G.png?v=1708342237,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,draft
smoked-almonds,SMOKED ALMONDS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,6.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/ROASTEDALMONDS_e8569bb3-84f1-4417-a2f6-cd29d9acf878.png?v=1708331596,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
sesame-seeds-250g,SESAME SEEDS 250G,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,3.49,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/SESAMESEEDS250G.png?v=1708331515,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
salted-chana,SALTED CHANA,,VC Fruit Market,NUTS NON GST,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,4.49,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/SALTEDCHANA.png?v=1708331338,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
salted-cashews,SALTED CASHEWS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,8.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/pexels-cottonbro-studio-9811624_1_869c1e56-9bfa-45df-8a4d-f94e08d74d2d.jpg?v=1704828569,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
roasted-mixed-nuts,ROASTED MIXED NUTS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,8.49,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/ROASTEDMIXEDNUTS.png?v=1708331075,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
roasted-almonds,ROASTED ALMONDS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,6.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/ROASTEDALMONDS.png?v=1708331036,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
rice-crackers-180g,RICE CRACKERS 180G,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,2.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/RICECRACKERS180G.png?v=1708328174,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
pumpkin-seeds-200g,PUMPKIN SEEDS 200G,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,3.5,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/PUMPKINSEEDS200G.png?v=1708327654,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
pitted-dates-500g,PITTED DATES 500G,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,3.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/PITTEDDATES500G.png?v=1708325478,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
pinenuts-100g,PINENUTS 100G,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,7.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/25-pine-seed25-g-1.png?v=1708325428,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
peanuts-boiled,PEANUTS BOILED,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,4.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/PEANUTSBOILEDPEANUTSBOILED.png?v=1708325021,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
natural-walnuts,NATURAL WALNUTS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,7.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/NATURALWALNUTS.png?v=1708322617,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
natural-peanuts,NATURAL PEANUTS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,4.49,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/NATURALPEANUTS.png?v=1708322607,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
macadamia-375g,MACADAMIA 375G,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,14.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/MACADAMIA375G.png?v=1708320058,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
dry-peanuts,DRY PEANUTS,,VC Fruit Market,,,,True,Title,Default Title,,,,,'1,0.0,shopify,100.0,deny,manual,3.99,,True,True,,https://cdn.shopify.com/s/files/1/0852/7367/4026/files/DRYPEANUTS.png?v=1708174690,1.0,,False,,,,,,,,,,,,,,,kg,,,True,,,True,,,active
